"pais","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Argentina","ARG","Área selvática (% del área de tierra)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8637149256949,12.79699198667,12.7302690476451,12.6635461086203,12.5968231695954,12.5301002305705,12.4633772915456,12.3966543525207,12.3299314134959,12.263208474471,12.1964855354461,12.0808714176615,11.9652572998769,11.8496431820922,11.7340290643076,11.618414946523,11.5028008287384,11.3871867109537,11.2715725931691,11.1559584753845,11.0403443575999,10.9587128976976,10.8770814377953,10.795449977893,10.7138185179907,10.6321870580884,10.6003968297469,10.5598368832422,10.5203731515078,10.4801786099266,10.4407148781923,10.4007639520735,NA,NA
"Australia","AUS","Área selvática (% del área de tierra)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4273589940513,17.4004386707106,17.3735183473699,17.3465980240293,17.3196777006886,17.2927573773479,17.2658370540073,17.2389167306666,17.2119964073259,17.1850760839853,17.1581557606446,17.1286333519909,17.0991109433373,17.0695885346836,17.04006612603,17.0105437173763,16.9810213087226,16.951498900069,16.9219764914153,16.8924540827617,16.862931674108,16.9553102586465,17.047688843185,17.1400674277235,17.232446012262,17.3248245968004,17.4254877132405,17.4229136169693,17.4213145571644,17.4213145571644,17.4213145571644,17.4213145571644,NA,NA
"Brasil","BRA","Área selvática (% del área de tierra)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.4580205643839,70.0056543680771,69.5532881717703,69.1009219754634,68.6485557791566,68.1961895828498,67.7438233865429,67.2914571902361,66.8390909939293,66.3867247976224,65.9343586013156,65.4616708980706,64.9889831948257,64.5162954915806,64.0436077883357,63.5709200850907,63.0982323818457,62.6255446786007,62.1528569753558,61.6801692721108,61.2074815688658,61.023328156743,60.8391747446202,60.6550213324974,60.4708679203746,60.2867145082518,60.0710325503043,59.8328814784151,59.7084279516735,59.5585261792696,59.4174780513368,59.2705274977447,NA,NA
"Canadá","CAN","Área selvática (% del área de tierra)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8455115614254,38.8402585886707,38.835005615916,38.8297526431612,38.8244996704065,38.8192466976518,38.8139937248971,38.8087407521424,38.8034877793876,38.7982348066329,38.7929818338782,38.7876307080739,38.7822795822695,38.7769284564652,38.7715773306609,38.7662262048566,38.7608750790522,38.7555239532479,38.7501728274436,38.7448217016393,38.7394705758349,38.7348640747569,38.7302575736789,38.7256510726009,38.7210445715229,38.7164380704449,38.7120133755838,38.7078876013737,38.7037629425392,38.6996371683291,38.6955125094946,39.4701279256318,NA,NA
"China","CHN","Área selvática (% del área de tierra)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7380065507416,16.9495471466993,17.161087742657,17.3726283386148,17.5841689345725,17.7957284858504,18.0072884878193,18.2188295344277,18.430370581036,18.6419116276444,18.8534727562839,19.1049681205612,19.3564538990231,19.6079386867747,19.8594228667065,20.1109081284255,20.3623927769671,20.6138778860824,20.8653616938384,21.1168450517356,21.3683288541342,21.574627370433,21.7809258867318,21.9872244030306,22.1935229193294,22.3998214356282,22.6304979330458,22.8307068120547,23.0309121760165,23.2311175399783,23.4313229039402,23.631528267902,NA,NA
"Alemania","DEU","Área selvática (% del área de tierra)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3661673302208,32.381634348237,32.3971013662533,32.413496791934,32.4298931568846,32.4462904611859,32.4626887049185,32.4818793869073,32.500143258266,32.5193420826408,32.5376128385155,32.5580395528805,32.5775382674999,32.5979759754594,32.6174843019755,32.6341897006537,32.653704978206,32.6741618148966,32.6936867165763,32.7113393190098,32.7308718478354,32.7375487720909,32.7451655477133,32.7189864709929,32.7228432215535,32.7323281545606,32.685482024273,32.6845464693591,32.6836109680005,32.6826755201923,32.6826755201923,32.6826755201923,NA,NA
"Francia","FRA","Área selvática (% del área de tierra)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3639451682537,26.5195428496291,26.6751405310045,26.8307382123799,26.9863358937553,27.1419335751307,27.2975312565061,27.4531289378815,27.6087266192569,27.7643243006323,27.9198709929561,28.1264210589754,28.3329711249947,28.5238935727102,28.7460712570334,28.9531500830051,29.1597039212356,29.3662577594661,29.5728115976967,29.7793654359272,29.9859192741578,30.1382321840466,30.2905450939354,30.4428580038243,30.5951709137131,30.7474838236019,30.8997967334908,31.0521096433796,31.2044225532684,31.3567354631573,31.5090483730461,31.6613612829349,NA,NA
"Reino Unido","GBR","Área selvática (% del área de tierra)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4826602736329,11.5554085892614,11.6281569048898,11.7009052205183,11.7736535361468,11.8464018517753,11.9191501674038,11.9918984830323,12.0646467986608,12.1373951142893,12.2101434299177,12.2535444136734,12.296945397429,12.3403463811846,12.3837473649403,12.4271483486959,12.4705493324515,12.5139503162072,12.5573512999628,12.6007522837184,12.6441532674741,12.7235150663415,12.8028768652089,12.8822386640764,12.9616004629438,13.0409622618113,13.0574959699087,13.0781631050304,13.1153639482495,13.1525647914686,13.1856322076634,13.2214553796553,NA,NA
"Indonesia","IDN","Área selvática (% del área de tierra)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.4377142478624,64.4846735152382,63.531632782614,62.5785920499898,61.6255513173656,60.6725105847414,59.7194698521172,58.766429119493,57.8133883868688,56.8603476542447,53.943528667353,53.8572019777163,53.7708752880796,53.684548598443,53.5982219088063,53.5118952191696,53.4255685295329,53.3392418398962,53.2529151502595,53.1665884606228,53.0802617709861,52.586919226916,52.0935766828458,51.6002341387757,51.1068915947056,50.6135490506354,50.7434545269582,50.0393338229866,49.7168177792076,49.3942964092507,49.0717803654717,48.3619448681206,NA,NA
"India","IND","Área selvática (% del área de tierra)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5048483278902,21.6277129951332,21.7505776623761,21.873442329619,21.996306996862,22.1191716641049,22.2420363313478,22.3649009985907,22.4877656658337,22.6106303330766,22.7334950003195,22.7975675957473,22.8616401911751,22.9257127866029,22.9897853820307,23.0538579774586,23.1179305728864,23.1820031683142,23.246075763742,23.3101483591698,23.3742209545976,23.4638216864714,23.5534224183453,23.6430231502191,23.732623882093,23.8222246139668,23.9118253458407,24.0014260777145,24.0910268095884,24.1806275414622,24.270228273336,24.3598290052099,NA,NA
"Italia","ITA","Área selvática (% del área de tierra)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8058209513447,26.0708578423039,26.3358947332631,26.6009316242222,26.8659685151814,27.1310054061406,27.3960422970997,27.6610791880589,27.9261160790181,28.1911529699772,28.3014561169763,28.5242325458714,28.7470089747665,28.9697854036616,29.1925618325567,29.4153382614518,29.6381146903469,29.860891119242,30.0836675481371,30.3064439770322,30.5292204059273,30.7111775407652,30.8931346756031,31.075091810441,31.2570489452789,31.4390060801169,31.6209699781549,31.8029338761929,31.9848977742309,32.1669704480973,32.3489349614665,32.5308994748357,NA,NA
